Nome;Cidade;Endereco;Telefones;Emails;Coordenador;Site
Apucarana;Apucarana;Praça Rui Barbosa, 12. Centro.;(43) 3425-1603 (coordenação/secretaria) / 3423-0576 (tutoria);apucaranapolo@gmail.com;Sueli Gomes Reis Gonçalvez;
Assaí;Assaí;Rua Manoel Ribas, 1103. Centro.;(43) 3262-­1122 / 3262-­1938;;;
Bituruna;Bituruna;Rua Maria Rosa Nunes Ramos, 35. Centro. CEP: 84640-000;(42) 3553-8098 / 3553-8099; uab@bituruna.pr.gov.br;;
Céu Azul;Céu Azul;Rua Prof. Daniel Muraro, 958. Centro;;educacao@netceu.com.br;;
Colombo;Colombo;Rua Dorval Ceccon, 664 – 2° andar – Jardim Nossa Senhora de Fátima. CEP: 83405-030;(41) 3562-6890;uabcolombo@gmail.com;Suzimara do Rocio Scrok Brunoro;
Congonhinhas;Congonhinhas;Avenida Dr. Davi Xavier da Silva. Centro. CEP 86320-000.;(43) 3554-1363 / 3554-1029;;;
Cruzeiro do Oeste;Cruzeiro do Oeste;Avenida Palmas, 220. Centro. CEP: 87.400-000;(44) 3676-2093;;;
Diamante do Norte;Diamante do Norte;Rodovia PR 182, km 01. Caixa postal 13. Bairro CRN UEM;(44) 3429-8000;;;
Engenheiro Beltrão;Engenheiro Beltrão;Rua Clotário Portugal,115. Centro. CEP 87270-000.;(44) 3537-2642;polouabbeltrao@bol.com.br;Maria Aparecida Madureira Chaves;http://polouabbeltrao.blogspot.com.br/
Faxinal;Faxinal;Av. Eugênio Bastiani. 984, Centro;(43) 3461-3076 / 3461-1332 ramal 208;uabfax@gmail.com;;
Flor da Serra do Sul;Flor da Serra do Sul;Rua Cristiano Bender, 419. Centro.;(46) 3565-1270;polofss@bol.com.br;;
Foz do Iguaçu;Foz do Iguaçu;Avenida Tancredo Neves, 6731. Caixa Postal 2019. Parque Tecnológico Itaipu-Brasil. CEP 85856-970.;(45) 3576-7030 / 3576-7031;secretaria.uabfoz@hotmail.com;Edilson Carlos Balzzan;
Goioerê;Goioerê;Rua Alexandre Magno,783. Centro. CEP:85250-000;(44) 3522-6005 / 3522-2135;sec.goio@gmail.com / uabgoioere@hotmail.com / goioere@nutead.org;;
Guarapuava;Guarapuava;Rua Vereador Osvaldo Camilo Mendes, 200. Bairro Industrial;(42) 3624-7430;semec.guarapuava@gmail.com;;
Ipiranga;Ipiranga;Rua João Ribeiro da Fonseca, 74. Centro.;(42) 3242-1596 / 3242-1837 / (42) 3242-1532;ipiranga@nutead.org;;
Iretama;Iretama;Avenida Paraná, 87. Centro. CEP 87280-000.;(44) 9924-7653 / 3573-1273;secretariaeduc@yahoo.com.br;;
Itambé;Itambé;Rua Luiz Fedrigo, 03. Parque Industrial.;(44) 3231-1366;uabitambe@hotmail.com;;
Ivaiporã;Ivaiporã;Praça Milton Pirolo, 385. Centro. CEP 86870-000.;(43) 3472-2516;polouab3ivaipora@gmail.com;Inês Casturina Malaquias;
Lapa;Lapa;Rua Eufrásio Cortes, 228;(41) 3911-1053;polouablapa@yahoo.com.br;;
Laranjeiras do Sul;Laranjeiras do Sul;Avenida Oscar da Silva Guedes, 01. Vila Alberti.;(42) 3635-3990;pololaranjeiras@yahoo.com.br;;
Nova Tebas;Nova Tebas;Rua Alexandre Magno, 783. Centro. CEP: 85250-000;(42) 3643-1101;uabnovatebas@yahoo.com.br;;
Palmital;Palmital;Rua Moises Lupion, 885. Centro. CEP 85270-000;(42) 3657-1222;;Eva Aparecida de Souza;
Pato Branco;Pato Branco;Pr 493, km 01, 1200. Bairro Fraron (saída para Bom Sucesso do Sul). CEP 85503-390. Caixa Postal 133.;(46) 3902-1321;;;
Pinhão;Pinhão;Avenida Trifon Hanycz, 244. Centro. Em frente Praça Municipal Darci Brolini.;(42) 3677-1891;uabuniversidade@yahoo.com.br / polopho2012@gmail.com / pinhao@nutead.org;;
Prudentópolis;Prudentópolis;Avenida São João, 692. Bairro Barro Preto. CEP: 84400-000;(42) 3446-6506 / 3908-1048 / 3446-4292;uabprudentopolis@gmail.com / nilce.antunes@yahoo.com.br;;
Telêmaco Borba;Telêmaco Borba;Rua Guarani, s/n. Bairro Nossa Senhora do Perpétuo Socorro (Campus Universitário de Telêmaco Borba);(42) 3904-1820;;;
Ubiratã;Ubiratã;Rua Belo Horizonte, 169. Bairro Jardim Josefina. CEP 85440-000.;(44) 3543-5827 / 3543-2591;coordenacaopoloubirata@hotmail.com;Vilma Izabel Penido da Silva;
Reserva;Reserva;Endereço: Rua Ari Borba Carneiro, 927. Centro. CEP 84320-000.;(42) 3276-1544;polouabreserva@hotmail.com;;
Santo Antônio do Sudoeste;Santo Antônio do Sudoeste;Rua Presidente Vargas, 621. Centro. CEP 85710-000.;(46) 3563-3544;pegadogico_sa@hotmail.com;;
Paranaguá;Paranaguá;Rua Capibaribe, s/n. Jardim Guaraituba (Escola Municipal Nascimento Junior). CEP 83209-230.;(41) 3420-6033 / 3420-2997;uabpoloparanagua@hotmail.com;;
